outer_target_code	source_regime_id	source_mic_supervision_status	model_kind	support_budget_percent	query_id	held_out_antibiotic	seed_count	observations_mean_across_seeds	rmse_mean_across_seeds	rmse_sd_across_seeds	mae_mean_across_seeds	mae_sd_across_seeds	r2_mean_across_seeds	r2_sd_across_seeds	pearson_mean_across_seeds	pearson_sd_across_seeds	spearman_mean_across_seeds	spearman_sd_across_seeds	one_tier_accuracy_mean_across_seeds	one_tier_accuracy_sd_across_seeds
se			target_only_full_support	100	drug_held_out__meropenem	meropenem	3	520.0	7.1925213447015395	0.4308675102905564	6.961447274608489	0.4080960513330336	-167.30989287689704	20.272041564571026	-0.022723624043165833	0.02375400775354419	0.021956504724585466	0.0029112225200276227	0.0006410256410256333	0.0011102889792108054
se			target_only_full_support	100	drug_held_out__tetracycline	tetracycline	3	7706.0	4.752985598544817	1.290417822226805	4.292558210490922	1.414587718526694	-4.912285429191956	2.944668038737424	0.26343756559728626	0.015690602235207095	0.20641832139023486	0.026188682082220964	0.14365429535426938	0.20016469302989828
se			target_only_scratch	1	drug_held_out__ampicillin	ampicillin	3	7975.0	4.025343891541376	0.22685519871202797	3.158437237643336	0.216667044860611	-0.9201890835474676	0.21740129069080721	0.45308106728464237	0.04249379066058027	0.2562320768616562	0.060445195474840854	0.09822361546499474	0.049228771989172464
se			target_only_scratch	1	drug_held_out__cefoxitin	cefoxitin	3	7603.0	3.6506586012199804	0.6871815815407687	3.4105275636023165	0.7369548199934333	-4.505714283830229	2.1158299126466362	0.603652639371218	0.010171192575164236	0.4070500011454992	0.010183588168895051	0.046779779911438425	0.04024906171968815
se			target_only_scratch	1	drug_held_out__ceftazidime	ceftazidime	3	588.0	3.6298780574152083	0.09310515083038191	2.9318070031888364	0.1258882763897476	-0.7516476158663088	0.0892539863486772	0.11459425287149409	0.04551882699521163	0.10918633627888007	0.05470993520147649	0.2551020408163265	0.044478560648374216
se			target_only_scratch	1	drug_held_out__ceftriaxone	ceftriaxone	3	7944.0	2.7171482918873493	0.2131486178627751	2.129239580910697	0.1293498569603439	-0.04407903610753874	0.16344985855233438	0.49088637034494936	0.04613899821315501	0.35286024409045424	0.059554086638470866	0.16532393420610939	0.09935464431657509
se			target_only_scratch	1	drug_held_out__chloramphenicol	chloramphenicol	3	7760.0	2.7442083772379564	0.5241575063782622	2.3537251109699002	0.5595836700328694	-3.8188699740612546	1.8038152885630359	0.15581055764481855	0.02335106654696638	0.07852958040889	0.008683412394417937	0.20274914089347074	0.09256097431264754
se			target_only_scratch	1	drug_held_out__ciprofloxacin	ciprofloxacin	3	9087.0	6.558691364447206	0.5192646043098825	6.092311856107554	0.5523441834283237	-7.217293126415946	1.3156402731451364	-0.14127785345920313	0.027840869410838062	-0.19997650747180504	0.062068023705413145	0.041817981732144766	0.016894683107321402
se			target_only_scratch	1	drug_held_out__meropenem	meropenem	3	520.0	8.063051607298735	0.36133271765571223	7.515292426819602	0.3467168900174198	-210.29513346625185	19.146112898089623	-0.08644849493427013	0.010156854984023396	-0.0176038252098293	0.011734811121546005	0.0012820512820512667	0.0011102889792108054
se			target_only_scratch	1	drug_held_out__tetracycline	tetracycline	3	7706.0	4.974883293869241	0.7598104213370795	4.56799757628679	0.8122855909856065	-5.2698383936673485	1.8089477793801745	0.2890117785464576	0.05470913215761494	0.312945728235917	0.24268939881697074	0.029025002162816768	0.004871669945601215
se			target_only_scratch	5	drug_held_out__ampicillin	ampicillin	3	7975.0	3.762770050059301	0.31848731860567014	2.8505339471676634	0.4624528619922617	-0.6823025188050914	0.28216337384520646	0.5168258258944238	0.04127271983257334	0.3010093158356481	0.0872007018580501	0.2927899686520376	0.2400318699502182
se			target_only_scratch	5	drug_held_out__cefoxitin	cefoxitin	3	7603.0	3.453834390304751	0.7933331849292391	3.266833644904667	0.8350783476731405	-3.9836553214346786	2.3555318230958777	0.7237266036867614	0.053064188831943644	0.41909876353111003	0.011608000774024225	0.0522600727782892	0.04186204562802577
se			target_only_scratch	5	drug_held_out__ceftazidime	ceftazidime	3	588.0	3.295840845399635	0.10695955146584958	2.374234690349929	0.12393337345685905	-0.44447329099508565	0.09311408273538259	0.4193260188483179	0.014848306677381188	0.3435062892710554	0.031263192578418454	0.38095238095238093	0.018395669772775444
se			target_only_scratch	5	drug_held_out__ceftriaxone	ceftriaxone	3	7944.0	2.558441026287754	0.027187741684429285	2.228804219050815	0.03413338101064461	0.07803981463596997	0.019640305762449854	0.7745528587089722	0.01538851630866876	0.42609975903717684	0.011070360100110704	0.09180933199060082	0.008448430301206306
se			target_only_scratch	5	drug_held_out__chloramphenicol	chloramphenicol	3	7760.0	2.940015112213548	0.4793554939211551	2.6978061053658684	0.44918048547500966	-4.495447516555802	1.815738044208874	0.30909545022712587	0.015054181854483125	0.17866145727586635	0.014177131098812624	0.06610824742268037	0.011861971655637436
se			target_only_scratch	5	drug_held_out__ciprofloxacin	ciprofloxacin	3	9087.0	6.450997528541886	0.10572861210957697	6.062918173687571	0.03980629847669806	-6.917988327675026	0.259239510283238	0.05061778079917367	0.11733960080741333	-0.039648543928544104	0.09077168162710475	0.03583874399325037	0.00991423957774999
se			target_only_scratch	5	drug_held_out__meropenem	meropenem	3	520.0	8.385320057435235	0.4883844787252164	8.009889563727073	0.49848892128223043	-227.7335588014721	26.786116985476358	-0.04871022006131246	0.010426873166504931	0.023556864066434733	0.013485833298299327	0.0006410256410256333	0.0011102889792108054
se			target_only_scratch	5	drug_held_out__tetracycline	tetracycline	3	7706.0	5.34282015158687	1.28663741329395	4.927739469086807	1.3432046651409872	-6.396122264273898	3.204740404714285	0.1877069609396392	0.13193667178763893	0.10635309233240246	0.40544662950462046	0.010251751881650601	0.011707293860650442
se			target_only_scratch	10	drug_held_out__ampicillin	ampicillin	3	7975.0	3.366185372363456	0.1066475802948118	2.287562995015672	0.16738634262387297	-0.3408679089048879	0.08541038728060621	0.46186105339215655	0.07584844635848903	0.24967159697953978	0.17389634123721362	0.541191222570533	0.04988689165011814
se			target_only_scratch	10	drug_held_out__cefoxitin	cefoxitin	3	7603.0	3.689035587495285	0.6778388323406247	3.531524565604125	0.6879861139399982	-4.615962115903437	2.090904789764952	0.779337608374589	0.004373476867906861	0.4019626987022538	0.01622925222245628	0.023674865184795432	0.01036730048609158
se			target_only_scratch	10	drug_held_out__ceftazidime	ceftazidime	3	588.0	3.5717214456898714	0.0899009140426939	2.6411558465352134	0.10897193229792274	-0.6959411668039416	0.08595597468284435	0.44264249593686844	0.026323469432131926	0.38744663482520125	0.03358453530953289	0.3605442176870748	0.01775562331447368
se			target_only_scratch	10	drug_held_out__ceftriaxone	ceftriaxone	3	7944.0	2.82795321827243	0.2127984871293371	2.481781031663482	0.19019494786617192	-0.13060111366586138	0.17294188901291802	0.7550593374426224	0.032250232640883295	0.42708031274647196	0.0032085361713806034	0.08765525344075187	0.0017817114590099128
se			target_only_scratch	10	drug_held_out__chloramphenicol	chloramphenicol	3	7760.0	2.5992402428407297	0.5410665278736165	2.322945904740712	0.5642597853516262	-3.3424567537456134	1.861074950615094	0.26612483535344555	0.017765119092546057	0.13313431449640753	0.041544094483290946	0.10730240549828174	0.05438485315281568
se			target_only_scratch	10	drug_held_out__ciprofloxacin	ciprofloxacin	3	9087.0	6.76196785466766	0.20114025882250744	6.381976836074943	0.23287106520677742	-7.703333971303898	0.5205165380010596	0.09289332138646111	0.148464437079418	-0.06689482689206043	0.06629529327528808	0.030739884817137964	0.011766489492212706
se			target_only_scratch	10	drug_held_out__meropenem	meropenem	3	520.0	8.037218840867506	0.8970865131579503	7.724125105562883	0.8390758825585857	-210.40404017627066	47.36786836579642	-0.027059017153289535	0.03241373044744884	0.018706396622739867	0.028136044602001847	0.0	0.0
se			target_only_scratch	10	drug_held_out__tetracycline	tetracycline	3	7706.0	5.276056238967758	1.1461969227376736	4.857302717357881	1.2378110850474195	-6.162450399005283	2.872877187300804	0.09817150100685294	0.12424861229469884	-0.15129836966493662	0.2849318958738014	0.006185656198633034	0.007468579579602593
