outer_target_code	source_regime_id	model_kind	support_budget_percent	normalized_antibiotic	fold_count	observations_mean_across_folds	rmse_mean_across_folds	rmse_sd_across_folds	mae_mean_across_folds	mae_sd_across_folds	r2_mean_across_folds	r2_sd_across_folds	pearson_mean_across_folds	pearson_sd_across_folds	spearman_mean_across_folds	spearman_sd_across_folds	one_tier_accuracy_mean_across_folds	one_tier_accuracy_sd_across_folds
ec	kp_plus_se_to_ec	source_pretrained_few_shot	1	chloramphenicol	5	568.6	1.222016216330698	0.052139807001619326	0.8976141787082265	0.034509112080506193	-0.4846259726814207	0.12876002528449682	0.4071733645646506	0.01925611586544112	0.37156616133427456	0.026879848185451943	0.6278670264115448	0.021093406053334124
ec	kp_plus_se_to_ec	source_pretrained_few_shot	1	ciprofloxacin	5	1293.4	2.6141596043646818	0.13019687779175296	1.9443340846244694	0.06318612226381563	0.5624592932963669	0.02920642815765881	0.7940336906255132	0.012887145741547815	0.7727288039699922	0.007500174850779797	0.28400048132993694	0.020872771584269426
ec	kp_plus_se_to_ec	source_pretrained_few_shot	1	imipenem	5	843.8	1.2879573591008318	0.0463528302931573	0.9356910933351559	0.028294734991406036	0.14570558975966827	0.04507682447664772	0.4679419421954071	0.029947447063835578	0.4112743253532984	0.01888223095928082	0.6403535106508575	0.0112832223637973
ec	kp_plus_se_to_ec	source_pretrained_few_shot	1	levofloxacin	5	547.6	1.4716578252005266	0.07142215099272525	1.230114646657052	0.04879176306754349	0.5997070957342052	0.03996108343254134	0.8884455773044924	0.016232333303523572	0.7633876615403982	0.015400481664047602	0.4309475588617378	0.019779533616656044
ec	kp_plus_se_to_ec	source_pretrained_few_shot	1	meropenem	5	1076.0	1.9968279159492333	0.022673140477821933	1.6046102843264662	0.021974458853668794	0.10068725495660114	0.02878703943665432	0.3908743081580626	0.023258390759950946	0.3237700944020689	0.03161718968008289	0.33742255266418836	0.01559966992857671
ec	kp_plus_se_to_ec	source_pretrained_few_shot	1	minocycline	5	685.0	1.556329752151368	0.016933621334094446	1.3511635378028406	0.03160551241822234	-0.42240602733316834	0.059615946887192725	0.34544092419743605	0.014815795692827895	0.38476590550992873	0.02362579431451407	0.3368746252807814	0.06231579858504398
ec	kp_plus_se_to_ec	source_pretrained_few_shot	1	tetracycline	5	411.4	1.951680526992209	0.07119332685097535	1.6071736227236948	0.06053941014304287	0.5447190155361279	0.03235826588837031	0.7830878176515946	0.018410367201597458	0.7449988178211245	0.012462917696885014	0.30479019519838735	0.03197910738966943
ec	kp_plus_se_to_ec	source_pretrained_few_shot	1	tigecycline	5	746.8	1.182438458203662	0.029985161084986632	0.9727865757219778	0.033947303101225824	-1.6425892944745712	0.1698651719802884	0.1318347093623595	0.014776577942279944	0.16563825287205575	0.028876815258832563	0.5390991430721396	0.02535802888128299
ec	kp_plus_se_to_ec	source_pretrained_few_shot	1	tobramycin	5	603.8	1.3235588583722269	0.05593737856432599	1.0244296035554104	0.04493711738846194	0.2278525131895111	0.053533220777270324	0.5559734660954367	0.03108997385125839	0.42284940675613036	0.03711165026724868	0.582847291525394	0.019941924208427345
ec	kp_plus_se_to_ec	source_pretrained_few_shot	5	amikacin	5	848.4	0.9435086942856717	0.010788224837044601	0.7156417917359972	0.011380707651095747	-0.1087390869623128	0.056595344760213134	0.32592299165036953	0.04204817412637334	0.20318452846856205	0.040638339888120927	0.759465353245772	0.011100351247244527
ec	kp_plus_se_to_ec	source_pretrained_few_shot	5	ampicillin	5	343.0	2.0153205919473685	0.19844646955506176	1.2987848257763626	0.0668135551580691	0.37466124455857847	0.03065152681421966	0.6464987686863651	0.03409995115131017	0.5957433226151096	0.020316934457352626	0.536248785228377	0.020528130892570464
ec	kp_plus_se_to_ec	source_pretrained_few_shot	5	aztreonam	5	556.4	1.5804087056123017	0.036069200993099265	1.1816942676029165	0.02600282554763071	0.37893878595118624	0.03728724834715708	0.6547246309867465	0.01977815847643056	0.653639107944098	0.02298247867067926	0.5637582953192011	0.01338175401653849
ec	kp_plus_se_to_ec	source_pretrained_few_shot	5	cefepime	5	666.6	1.9826454445162938	0.06492040134470062	1.4946012451818622	0.06427571765818733	0.34015502392031965	0.0469264575167709	0.6482316452989519	0.024111182069705365	0.6340870480198733	0.02031164612294469	0.502167534851193	0.029983019674979645
